site,number,year,replicate,n_per,c_per
PA,9GC,2014,1,0.1233,3.0510
PA,55C,2014,2,0.3945,6.0080
PA,35C,2014,3,0.0710,2.3146
PA,115C,2014,4,0.3094,5.9889
PA,1GC,2014,5,0.1774,3.4879
PA,7GC,2014,6,0.1386,3.1185
PA,11GC,2014,7,0.1436,3.4996
PA,15C,2014,8,0.0568,2.1631
PA,3GC,2014,9,0.0740,2.2486
PA,95C,2014,10,0.1261,3.1554
PA,5GC,2014,11,0.1740,3.7041
PA,75C,2014,12,0.0898,2.2572
SP,175C,2014,1,0.2181,6.9958
SP,25C,2014,2,1.0805,17.0738
SP,15C,2014,3,0.5061,8.8260
SP,105C,2014,4,1.2416,18.7042
SP,55C,2014,5,0.3726,8.5666
SP,65C,2014,6,0.2137,5.9760
SP,135C,2014,7,0.1651,4.3965
SP,85C,2014,8,0.3690,7.3449
SP,165C,2014,9,0.2661,6.6389
SP,115C,2014,10,1.7546,25.6771
SP,145C,2014,11,0.3414,6.4289
SP,75C,2014,12,0.7969,15.9278
TU6,121,2015,1,1.8082,43.7246
TU6,116,2015,2,0.6376,15.9807
TU6,118,2015,3,0.3608,10.1898
TU6,114,2015,4,0.7898,19.6536
TU6,110,2015,5,0.9605,29.8522
TU6,117,2015,6,1.1935,30.0355
TU6,119,2015,7,0.9174,21.0172
TU6,113,2015,8,1.4448,29.5436
TU6,112,2015,9,1.2755,30.0467
TU6,111,2015,10,1.3551,32.9928
TU6,120,2015,11,0.8344,25.2272
TU6,115,2015,12,1.6196,41.1264
VC,12,2015,1,0.2040,3.9394
VC,8,2015,2,0.4707,7.6874
VC,6,2015,3,0.3136,5.3912
VC,9,2015,4,0.4537,8.3526
VC,3,2015,5,0.3601,5.6846
VC,2,2015,6,0.4986,7.7762
VC,1,2015,7,0.4074,5.6608
VC,11,2015,8,0.3861,5.8883
VC,7,2015,9,0.3789,6.3580
VC,4,2015,10,0.5480,8.0482
VC,5,2015,11,0.3756,6.8692
VC,10,2015,12,0.6677,11.2063